avg_dep,airport,num_obs,datetime,avg_weather
7.5,ABE,2.0,2018-01-01,Precipitation UNK
17.5,ABE,2.0,2018-01-02,Clear
6.333333333333332,ABE,3.0,2018-01-03,Cold Severe
109.5,ABE,2.0,2018-01-04,Snow Light
60.5,ABE,2.0,2018-01-05,Clear
25.0,ABE,2.0,2018-01-06,Clear
23.0,ABE,2.0,2018-01-07,Clear
36.0,ABE,2.0,2018-01-08,Snow Light
54.0,ABE,1.0,2018-01-09,Fog Severe
19.0,ABE,2.0,2018-01-10,Clear
5.5,ABE,2.0,2018-01-11,Clear
62.5,ABE,2.0,2018-01-12,Rain Light
60.5,ABE,2.0,2018-01-13,Rain Light
10.5,ABE,2.0,2018-01-14,Clear
-2.5,ABE,2.0,2018-01-15,Clear
-1.0,ABE,1.0,2018-01-16,Snow Light
41.0,ABE,2.0,2018-01-17,Snow Light
3.5,ABE,2.0,2018-01-18,Clear
34.0,ABE,2.0,2018-01-19,Fog Moderate
5.0,ABE,2.0,2018-01-20,Clear
7.0,ABE,2.0,2018-01-21,Clear
-3.0,ABE,2.0,2018-01-22,Fog Moderate
-4.0,ABE,1.0,2018-01-23,Rain Light
1.5,ABE,2.0,2018-01-24,Cold Severe
-4.5,ABE,2.0,2018-01-25,Clear
-9.5,ABE,2.0,2018-01-26,Clear
-2.0,ABE,2.0,2018-01-27,Fog Moderate
-10.0,ABE,2.0,2018-01-28,Rain Light
-13.5,ABE,2.0,2018-01-29,Clear
0.0,ABE,1.0,2018-01-30,Snow Light
50.0,ABE,2.0,2018-01-31,Clear
-12.5,ABE,2.0,2018-02-01,Rain Light
-9.5,ABE,2.0,2018-02-02,Snow Light
9.5,ABE,2.0,2018-02-03,Clear
-7.0,ABE,2.0,2018-02-04,Snow Moderate
27.0,ABE,2.0,2018-02-05,Rain Light
-10.0,ABE,1.0,2018-02-06,Clear
29.0,ABE,2.0,2018-02-07,Snow Moderate
52.5,ABE,2.0,2018-02-08,Clear
184.0,ABE,2.0,2018-02-09,Clear
1.0,ABE,2.0,2018-02-10,Rain Light
-8.5,ABE,2.0,2018-02-11,Rain Light
-17.5,ABE,2.0,2018-02-12,Clear
-7.0,ABE,1.0,2018-02-13,Clear
-0.3333333333333333,ABE,3.0,2018-02-14,Clear
12.333333333333336,ABE,3.0,2018-02-15,Rain Light
-6.333333333333332,ABE,3.0,2018-02-16,Rain Light
31.33333333333333,ABE,3.0,2018-02-17,Snow Light
29.0,ABE,4.0,2018-02-18,Snow Moderate
2.0,ABE,3.0,2018-02-19,Rain Light
344.0,ABE,1.0,2018-02-20,Fog Moderate
44.33333333333334,ABE,3.0,2018-02-21,Fog Severe
1.0,ABE,3.0,2018-02-22,Rain Light
40.0,ABE,3.0,2018-02-23,Rain Light
-7.25,ABE,4.0,2018-02-24,Rain Light
3.0,ABE,3.0,2018-02-25,Rain Light
2.6666666666666665,ABE,3.0,2018-02-26,Fog Severe
-8.0,ABE,1.0,2018-02-27,Clear
3.6666666666666665,ABE,3.0,2018-02-28,Clear
-2.333333333333333,ABE,3.0,2018-03-01,Rain Light
18.0,ABE,2.0,2018-03-02,Storm Severe
58.75,ABE,4.0,2018-03-03,Storm Severe
24.66666666666667,ABE,3.0,2018-03-04,Clear
15.0,ABE,3.0,2018-03-05,Clear
16.0,ABE,1.0,2018-03-06,Clear
350.0,ABE,1.0,2018-03-07,Snow Light
0.0,ABE,3.0,2018-03-08,Clear
26.33333333333333,ABE,3.0,2018-03-09,Snow Light
25.0,ABE,4.0,2018-03-10,Clear
-3.6666666666666665,ABE,3.0,2018-03-11,Clear
-4.666666666666667,ABE,3.0,2018-03-12,Clear
44.0,ABE,1.0,2018-03-13,Snow Light
-3.0,ABE,3.0,2018-03-14,Snow Light
-4.666666666666667,ABE,3.0,2018-03-15,Clear
16.333333333333332,ABE,3.0,2018-03-16,Clear
